twitch,rank_A,rank,num_days_chat,num_days_video,followers_03
"goondolf",0,"B",0,7,19
"da_ft",0,"B",0,2,45
"xmalsz",0,"B",0,2,32
"hunt__tv",0,"B",0,2,7
"tmay",0,"B",0,5,107
"farthammer1sg",0,"B",0,5,5
"bertnasty_",0,"B",0,1,5
"moroncs",0,"B",0,1,14
"sw_i_ms",0,"C",4,4,320
"josh_swan21",0,"C",1,1,4408
"vprex",0,"C",1,3,96
"chewiessthong",0,"C",4,1,214
"oomoomanoo",0,"C",7,14,934
"manzkid",0,"C",2,6,42
"d0minictv",0,"C",6,10,139
"speedie_csgo",0,"C",2,8,51
"zan3rg",0,"C",5,8,376
"plutomonium",0,"C",5,4,143
"zenixxcs",0,"C",1,1,10
"buddahkb",0,"C",1,3,10
"scem",0,"C",1,1,221
"jetty",0,"C",6,3,196
"daemgg",0,"C",6,9,65
"mr_worthy",0,"C",5,3,91
"proteustv",0,"C",4,9,73
"zephe",0,"C",1,5,71
"yayooo_tv",0,"C",6,14,267
"animegorls",0,"C",1,5,35
"nicxcs",0,"C",2,2,51
"scorchyybc",0,"C",1,0,55
"kirshier",0,"C",5,0,-1
"xanxiwnl",0,"C",1,0,76
"sizarroowo",0,"C",3,0,-1
"not_luckyduck38",0,"C",1,0,63
"jsetv",0,"C",1,0,221
"tylercheetah",0,"C",1,0,8
"mitchiin",0,"C",2,0,10
"samanthaeg",0,"C",1,0,-1
"2bamboozled",0,"C",1,0,24
"rypht_",0,"C",0,0,18
"dukeester",0,"C",0,0,-1
"kingbonoboqc",0,"C",0,0,1087
"ctbtv_",0,"C",0,0,4
"slaynugget",0,"C",0,0,92
"pe3kab0o",0,"C",0,0,0
"tflug",0,"C",0,0,1029
"fauxypoo",0,"C",0,0,64
"itsofficialnathan",0,"C",0,0,15
"spiffster_",0,"C",0,0,-1
"kekbun",0,"C",0,0,116
"mattbenvegnu12",0,"C",0,0,-1
"mististaken",0,"C",0,0,563
"gajokerl",0,"C",0,0,46
"illusion_gallo",0,"C",0,0,19
"alayla",0,"C",0,0,116
"devon7422",0,"C",0,0,9
"jewish_jailbait",0,"C",0,0,6
"monstrocitie",0,"C",0,0,15
"itzsocks",0,"C",0,0,289
"psychopathclientlive",0,"C",0,0,40
"b3njymn",0,"C",0,0,-1
"wreckfesttv",0,"C",0,0,30
"arsolanda",0,"C",0,0,14
"nutty_live",0,"C",0,0,15
"immenson",0,"C",0,0,-1
"themanghandi",0,"C",0,0,156
"swazired",0,"C",0,0,34
"discountheroin",0,"C",0,0,0
"magicrit",0,"C",0,0,172
"h_cookie",0,"C",0,0,-1
"andrewman",0,"C",0,0,4
"puyang",0,"C",0,0,0
"maclynch0828",0,"C",0,0,0
"mrsuccessful1",0,"C",0,0,1
"whaalictv",0,"C",0,0,22
